,Make,Model,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,counter,total_pop,fatality_perc,injury_perc,uninjured_perc
85,Cessna,150F,1.0,7.0,9.0,8.0,19.0,31,43.0,16.27906976744186,39.53488372093023,44.18604651162791
213,Hughes,369D,1.0,8.0,9.0,2.0,15.0,21,34.0,23.52941176470588,32.35294117647059,44.11764705882353
13,Air Tractor,AT502,1.0,11.0,3.0,0.0,11.0,24,25.0,44.0,12.0,44.0
195,De Havilland,DHC-2,1.0,12.0,10.0,15.0,29.0,12,66.0,18.181818181818183,37.878787878787875,43.93939393939394
284,Piper,PA28,-99.0,32.0,2.0,3.0,29.0,37,66.0,48.484848484848484,7.575757575757576,43.93939393939394
53,Bell,206B,1.0,35.0,23.0,25.0,65.0,79,148.0,23.64864864864865,32.432432432432435,43.91891891891892
4,Air Tractor,AT 502B,1.0,4.0,2.0,3.0,7.0,16,16.0,25.0,31.25,43.75
275,Piper,PA-38-112,1.0,5.0,2.0,2.0,7.0,13,16.0,31.25,25.0,43.75
258,Piper,PA-28,1.0,0.0,6.0,3.0,7.0,13,16.0,0.0,56.25,43.75
301,Robinson,R44,1.0,92.0,65.0,45.0,157.0,183,359.0,25.62674094707521,30.64066852367688,43.73259052924791
296,Raytheon Aircraft Company,A36,1.0,10.0,9.0,3.0,17.0,14,39.0,25.64102564102564,30.76923076923077,43.58974358974359
238,Piper,PA 28-140,1.0,9.0,10.0,10.0,22.0,30,51.0,17.647058823529413,39.21568627450981,43.13725490196079
190,Cirrus,SR22,-99.0,26.0,8.0,1.0,26.0,29,61.0,42.62295081967213,14.754098360655737,42.62295081967213
290,Piper,PA32R,1.0,28.0,7.0,5.0,29.0,27,69.0,40.57971014492754,17.391304347826086,42.028985507246375
35,Beech,A23,1.0,2.0,6.0,2.0,7.0,11,17.0,11.76470588235294,47.05882352941176,41.17647058823529
168,Cessna,P210N,1.0,16.0,16.0,9.0,28.0,35,69.0,23.18840579710145,36.231884057971016,40.57971014492754
88,Cessna,150J,1.0,5.0,7.0,3.0,10.0,16,25.0,20.0,40.0,40.0
